,code,name,date,weight
337,600468,百利电气,2017-06-01,0.06
338,600460,士兰微,2017-06-01,0.13
339,600300,维维股份,2017-06-01,0.16
340,600289,亿阳信通,2017-06-01,0.14
341,600277,亿利洁能,2017-06-01,0.18
342,600201,生物股份,2017-06-01,0.56
343,600022,山东钢铁,2017-06-01,0.24
344,300291,华录百纳,2017-06-01,0.18
345,300134,大富科技,2017-06-01,0.25
346,300088,长信科技,2017-06-01,0.4
347,300043,星辉娱乐,2017-06-01,0.1
348,002681,奋达科技,2017-06-01,0.12
349,002672,东江环保,2017-06-01,0.23
350,002663,普邦股份,2017-06-01,0.14
351,002642,荣之联,2017-06-01,0.18
352,002505,大康农业,2017-06-01,0.16
353,002463,沪电股份,2017-06-01,0.14
354,002399,海普瑞,2017-06-01,0.21
355,002358,森源电气,2017-06-01,0.18
356,002309,中利集团,2017-06-01,0.11
357,002168,深圳惠程,2017-06-01,0.39
358,002128,露天煤业,2017-06-01,0.16
359,002122,天马股份,2017-06-01,0.17
360,002064,华峰氨纶,2017-06-01,0.13
361,002029,七 匹 狼,2017-06-01,0.12
362,002025,航天电器,2017-06-01,0.18
363,002013,中航机电,2017-06-01,0.28
364,000758,中色股份,2017-06-01,0.21
365,000667,美好置业,2017-06-01,0.23
366,000656,金科股份,2017-06-01,0.68
367,000099,中信海直,2017-06-01,0.13
368,000031,中粮地产,2017-06-01,0.22
369,002572,索菲亚,2017-06-01,0.58
370,002371,北方华创,2017-06-01,0.12
371,600521,华海药业,2017-06-01,0.34
372,002242,九阳股份,2017-06-01,0.16
373,002396,星网锐捷,2017-06-01,0.15
374,002271,东方雨虹,2017-06-01,0.49
375,600329,中新药业,2017-06-01,0.13
376,002603,以岭药业,2017-06-01,0.22
377,600551,时代出版,2017-06-01,0.08
378,601233,桐昆股份,2017-06-01,0.12
379,002699,美盛文化,2017-06-01,0.09
380,600458,时代新材,2017-06-01,0.12
381,600614,鹏起科技,2017-06-01,0.31
382,601886,江河集团,2017-06-01,0.14
383,600171,上海贝岭,2017-06-01,0.14
384,002390,信邦制药,2017-06-01,0.23
385,000636,风华高科,2017-06-01,0.13
386,600884,杉杉股份,2017-06-01,0.21
387,600151,航天机电,2017-06-01,0.17
388,002400,省广股份,2017-06-01,0.25
389,000970,中科三环,2017-06-01,0.29
390,600112,*ST天成,2017-06-01,0.08
391,600736,苏州高新,2017-06-01,0.13
392,601801,皖新传媒,2017-06-01,0.15
393,000566,海南海药,2017-06-01,0.3
394,000961,中南建设,2017-06-01,0.2
